,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Year,HOME_TEAM,VISITOR_TEAM
84,2019-01-31,21800766,Final,1610612761,1610612749,2018,1610612761,92.0,0.3979999999999999,0.846,0.259,16.0,39.0,1610612749,105.0,0.494,0.765,0.368,21.0,50.0,0,2019,Raptors,Bucks
85,2019-12-21,21900434,Final,1610612752,1610612749,2019,1610612752,102.0,0.402,0.7140000000000001,0.3,23.0,47.0,1610612749,123.0,0.482,0.657,0.419,26.0,52.0,0,2019,Knicks,Bucks
86,2019-10-30,21900058,Final,1610612738,1610612749,2019,1610612738,116.0,0.446,0.81,0.415,25.0,45.0,1610612749,105.0,0.4629999999999999,0.625,0.311,21.0,45.0,1,2019,Celtics,Bucks
87,2019-05-06,41800204,Final,1610612738,1610612749,2018,1610612738,101.0,0.3779999999999999,0.8,0.22,25.0,51.0,1610612749,113.0,0.44,0.68,0.216,25.0,56.0,0,2019,Celtics,Bucks
88,2019-05-03,41800203,Final,1610612738,1610612749,2018,1610612738,116.0,0.4320000000000001,0.938,0.4,24.0,44.0,1610612749,123.0,0.506,0.667,0.405,23.0,44.0,0,2019,Celtics,Bucks
89,2020-12-18,12000043,Final,1610612740,1610612749,2020,1610612740,127.0,0.512,0.614,0.364,25.0,51.0,1610612749,113.0,0.422,0.9,0.25,21.0,44.0,1,2020,Pelicans,Bucks
90,2020-02-04,21900751,Final,1610612740,1610612749,2019,1610612740,108.0,0.384,0.75,0.286,26.0,49.0,1610612749,120.0,0.471,0.765,0.306,34.0,53.0,0,2020,Pelicans,Bucks
91,2019-03-12,21801010,Final,1610612740,1610612749,2018,1610612740,113.0,0.43,0.688,0.213,27.0,50.0,1610612749,130.0,0.495,0.857,0.278,27.0,52.0,0,2019,Pelicans,Bucks
92,2019-11-10,21900135,Final,1610612760,1610612749,2019,1610612760,119.0,0.495,0.706,0.405,31.0,35.0,1610612749,121.0,0.5660000000000001,0.889,0.3929999999999999,27.0,48.0,0,2019,Thunder,Bucks
93,2019-01-27,21800738,Final,1610612760,1610612749,2018,1610612760,118.0,0.4679999999999999,0.56,0.5,29.0,52.0,1610612749,112.0,0.429,0.679,0.405,22.0,49.0,1,2019,Thunder,Bucks
94,2020-03-09,21900958,Final,1610612743,1610612749,2019,1610612743,109.0,0.436,0.917,0.39,28.0,48.0,1610612749,95.0,0.378,0.667,0.3,23.0,48.0,1,2020,Nuggets,Bucks
95,2020-03-08,21900950,Final,1610612756,1610612749,2019,1610612756,140.0,0.553,0.871,0.442,30.0,47.0,1610612749,131.0,0.537,0.762,0.394,23.0,36.0,1,2020,Suns,Bucks
96,2019-03-04,21800955,Final,1610612756,1610612749,2018,1610612756,114.0,0.451,0.8059999999999999,0.318,22.0,56.0,1610612749,105.0,0.368,0.742,0.286,17.0,57.0,1,2019,Suns,Bucks
97,2020-08-02,21901248,Final,1610612745,1610612749,2019,1610612745,120.0,0.396,0.871,0.344,22.0,36.0,1610612749,116.0,0.489,0.739,0.257,21.0,65.0,1,2020,Rockets,Bucks
98,2019-10-24,21900015,Final,1610612745,1610612749,2019,1610612745,111.0,0.3670000000000001,0.7440000000000001,0.3329999999999999,25.0,57.0,1610612749,117.0,0.465,0.5,0.348,31.0,53.0,0,2019,Rockets,Bucks
99,2019-01-09,21800610,Final,1610612745,1610612749,2018,1610612745,109.0,0.376,0.8440000000000001,0.375,19.0,46.0,1610612749,116.0,0.484,0.833,0.296,26.0,49.0,0,2019,Rockets,Bucks
100,2020-08-08,21901284,Final,1610612742,1610612749,2019,1610612742,136.0,0.417,0.92,0.321,37.0,54.0,1610612749,132.0,0.475,0.676,0.341,26.0,55.0,1,2020,Mavericks,Bucks
101,2019-10-11,11900043,Final,1610612742,1610612749,2019,1610612742,111.0,0.3939999999999999,0.6559999999999999,0.32,27.0,50.0,1610612749,118.0,0.5,0.708,0.425,30.0,47.0,0,2019,Mavericks,Bucks
102,2019-02-08,21800821,Final,1610612742,1610612749,2018,1610612742,107.0,0.414,0.65,0.415,23.0,37.0,1610612749,122.0,0.5479999999999999,0.833,0.278,25.0,51.0,0,2019,Mavericks,Bucks
103,2020-07-25,11900113,Final,1610612758,1610612749,2019,1610612758,123.0,0.408,0.885,0.333,23.0,42.0,1610612749,131.0,0.488,0.795,0.444,29.0,54.0,0,2020,Kings,Bucks
104,2020-01-10,21900575,Final,1610612758,1610612749,2019,1610612758,106.0,0.4579999999999999,0.8,0.286,26.0,45.0,1610612749,127.0,0.495,0.767,0.256,29.0,52.0,0,2020,Kings,Bucks
105,2019-02-27,21800920,Final,1610612758,1610612749,2018,1610612758,140.0,0.449,0.733,0.364,30.0,58.0,1610612749,141.0,0.482,0.762,0.3779999999999999,36.0,57.0,0,2019,Kings,Bucks
106,2019-11-06,21900111,Final,1610612746,1610612749,2019,1610612746,124.0,0.418,0.8059999999999999,0.419,21.0,54.0,1610612749,129.0,0.429,0.794,0.3670000000000001,18.0,54.0,0,2019,Clippers,Bucks
107,2019-12-25,21900456,Final,1610612755,1610612749,2019,1610612755,121.0,0.436,0.8,0.477,29.0,49.0,1610612749,109.0,0.474,0.75,0.3939999999999999,23.0,47.0,1,2019,76ers,Bucks
108,2019-04-04,21801177,Final,1610612755,1610612749,2018,1610612755,122.0,0.474,0.778,0.5,36.0,43.0,1610612749,128.0,0.452,0.7440000000000001,0.353,26.0,50.0,0,2019,76ers,Bucks
109,2019-11-29,21900270,Final,1610612739,1610612749,2019,1610612739,110.0,0.5,0.5,0.5,32.0,41.0,1610612749,119.0,0.511,0.7390000000000001,0.353,28.0,47.0,0,2019,Cavaliers,Bucks
110,2019-03-20,21801065,Final,1610612739,1610612749,2018,1610612739,107.0,0.419,0.75,0.282,18.0,54.0,1610612749,102.0,0.396,0.81,0.406,24.0,51.0,1,2019,Cavaliers,Bucks
111,2020-03-01,21900895,Final,1610612766,1610612749,2019,1610612766,85.0,0.354,0.9,0.2289999999999999,22.0,47.0,1610612749,93.0,0.402,0.762,0.226,20.0,61.0,0,2020,Hornets,Bucks
112,2020-01-24,21900669,Final,1610612766,1610612749,2019,1610612766,103.0,0.3720000000000001,0.833,0.359,24.0,39.0,1610612749,116.0,0.506,0.75,0.278,26.0,53.0,0,2020,Hornets,Bucks
113,2020-09-06,41900204,Final,1610612748,1610612749,2019,1610612748,115.0,0.444,0.9,0.362,33.0,41.0,1610612749,118.0,0.489,0.773,0.314,25.0,46.0,0,2020,Heat,Bucks
114,2020-09-04,41900203,Final,1610612748,1610612749,2019,1610612748,115.0,0.449,0.794,0.383,27.0,49.0,1610612749,100.0,0.42,0.714,0.297,23.0,44.0,1,2020,Heat,Bucks
115,2020-03-02,21900906,Final,1610612748,1610612749,2019,1610612748,105.0,0.43,0.722,0.486,28.0,46.0,1610612749,89.0,0.407,0.632,0.206,19.0,48.0,1,2020,Heat,Bucks
116,2019-03-15,21801029,Final,1610612748,1610612749,2018,1610612748,98.0,0.409,0.56,0.364,21.0,45.0,1610612749,113.0,0.477,0.708,0.364,29.0,52.0,0,2019,Heat,Bucks
117,2019-11-04,21900094,Final,1610612750,1610612749,2019,1610612750,106.0,0.359,0.8640000000000001,0.302,20.0,47.0,1610612749,134.0,0.5379999999999999,0.667,0.359,24.0,57.0,0,2019,Timberwolves,Bucks
